Sample Number (10000 samples per second),Var1 ()
0,24.0
1,24.0
2,26.0
3,26.0
4,26.0
5,26.0
6,28.0
7,28.0
8,28.0
9,28.0
10,29.0
11,29.0
12,29.0
13,31.0
14,31.0
15,31.0
16,31.0
17,33.0
18,33.0
19,33.0
20,33.0
21,35.0
22,35.0
23,35.0
24,35.0
25,39.0
26,39.0
27,39.0
28,41.0
29,41.0
30,41.0
31,41.0
32,43.0
33,43.0
34,43.0
35,43.0
36,45.0
37,45.0
38,45.0
39,45.0
40,47.0
41,47.0
42,47.0
43,49.0
44,49.0
45,49.0
46,49.0
47,50.0
48,50.0
49,50.0
50,50.0
51,52.0
52,52.0
53,52.0
54,54.0
55,54.0
56,54.0
57,54.0
58,54.0
59,58.0
60,58.0
61,58.0
62,60.0
63,60.0
64,60.0
65,60.0
66,62.0
67,62.0
68,62.0
69,62.0
70,63.0
71,63.0
72,63.0
73,63.0
74,66.0
75,66.0
76,66.0
77,67.0
78,67.0
79,67.0
80,67.0
81,69.0
82,69.0
83,69.0
84,69.0
85,71.0
86,71.0
87,71.0
88,73.0
89,73.0
90,73.0
91,73.0
92,73.0
93,77.0
94,77.0
95,77.0
96,78.0
97,78.0
98,78.0
99,78.0
100,80.0
101,80.0
102,80.0
103,80.0
104,82.0
105,82.0
106,82.0
107,84.0
108,84.0
109,84.0
110,84.0
111,86.0
112,86.0
113,86.0
114,86.0
115,88.0
116,88.0
117,88.0
118,89.0
119,89.0
120,89.0
121,89.0
122,91.0
123,91.0
124,91.0
125,91.0
126,93.0
127,93.0
